asin,url,title,primary_image,images,manufacturer,item_model_number,country_of_origin,uniq_id,price_clean,categories_clean,primary_category,depth_in,width_in,height_in,date_first_available_clean,scraped_at_clean,title_clean,brand_clean,color_clean,material_clean,style_clean,specifications_dict,product_type
B0CJHKVG6P,https://www.amazon.com/dp/B0CJHKVG6P,"GOYMFK 1pc Free Standing Shoe Rack, Multi-layer Metal Shoe Cap Rack With 8 Double Hooks For Living Room, Bathroom, Hallway",https://m.media-amazon.com/images/I/416WaLx10jL._SS522_.jpg,"['https://m.media-amazon.com/images/I/416WaLx10jL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41kuxipTsuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51T9x4yZd3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61w6ifIrCpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51bBQlUn8GL._SS522_.jpg']",GOYMFK,TK019,China,02593e81-5c09-5069-8516-b0b29f439ded,24.99,"['Home & Kitchen', 'Storage & Organization', 'Clothing & Closet Storage', 'Shoe Organizers', 'Free Standing Shoe Racks']",Home & Kitchen,2.36,7.87,21.6,2023-09-21,2024-02-02 15:15:08,"Goymfk 1Pc Free Standing Shoe Rack, Multi-Layer Metal Shoe Cap Rack With 8 Double Hooks For Living Room, Bathroom, Hallway",Goymfk,White,Metal,Modern,"{'Brand': 'GOYMFK', 'Color': 'White', 'Material': 'Metal', 'Recommended Uses For Product': 'Coats, Umbrella, Hats, Shoes', 'Product Dimensions': '2.36""D x 7.87""W x 21.6""H', 'Installation Type': 'Free Standing', 'Special Feature': 'Stackable', 'Style': 'Modern', 'Finish Type': 'Coated', 'Load Capacity': '44.1 Pounds', 'Number of Shelves': '5', 'Furniture Finish': 'Metal', 'Frame Material': 'Metal', 'Assembly Required': 'Yes', 'Maximum Weight Recommendation': '20 Kilograms', 'Manufacturer': 'GOYMFK', 'Part Number': 'TK019', 'Item Weight': '2.7 pounds', 'Country of Origin': 'China', 'Item model number': 'TK019', 'Finish': 'Coated', 'Special Features': 'Stackable', 'Included Components': '1 x Assembly instructions', 'Batteries Included?': 'No', 'Batteries Required?': 'No', 'Warranty Description': '1 year', 'ASIN': 'B0CJHKVG6P', 'Customer Reviews': '1.0  1.0 out of 5 stars        1 rating    1.0 out of 5 stars', 'Best Sellers Rank': '#569,353 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1,051 in Free Standing Shoe Racks', 'Date First Available': 'September 21, 2023'}",Tables
B0B66QHB23,https://www.amazon.com/dp/B0B66QHB23,"subrtex Leather ding Room, Dining Chairs Set of 2, Black",https://m.media-amazon.com/images/I/31SejUEWY7L._SS522_.jpg,"['https://m.media-amazon.com/images/I/31SejUEWY7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41mr+A9JmbL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41JjrWgA0XL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41ie5FbnfkL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41EDoJzFehL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31RijT4dnfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71hWfuIyNPL.SS125_SS522_.jpg']",Subrtex Houseware INC,VCZYSBTPZCY04,,5938d217-b8c5-5d3e-b1cf-e28e340f292e,,"['Home & Kitchen', 'Furniture', 'Dining Room Furniture', 'Chairs']",Home & Kitchen,18.5,16.0,35.0,2022-07-10,2024-02-02 15:15:09,"Subrtex Leather Ding Room, Dining Chairs Set Of 2, Black",Subrtex,Black,Sponge,Black Rubber Wood,"{'Brand': 'subrtex', 'Color': 'Black', 'Product Dimensions': '18.5""D x 16""W x 35""H', 'Size': 'Dining Chairs set of 2', 'Back Style': 'Solid Back', 'Special Feature': 'Ergonomic', 'Product Care Instructions': 'Dry Clean, Wipe Clean', 'Unit Count': '2.0 Count', 'Recommended Uses For Product': 'Dining,Living Room', 'Maximum Weight Recommendation': '265 Pounds', 'Style': 'Dining Chairs', 'Pattern': 'Solid', 'Room Type': 'Kitchen, Living Room, Dining Room', 'Age Range (Description)': 'Teen', 'Included Components': 'dining room chairs set of 2', 'Shape': 'Rectangular', 'Model Name': 'leather dining chairs', 'Cartoon Character': 'Waterproof', 'Surface Recommendation': 'Hard Floor', 'Indoor/Outdoor Usage': 'Indoor', 'Form Factor': 'Upholstered', 'Furniture Finish': 'Leather', 'Fill Material': 'Sponge', 'Cushion Style': 'Upholstered', 'Leg Style': 'Black Rubber Wood', 'Item Weight': '25.4 pounds', 'Manufacturer': 'Subrtex Houseware INC', 'ASIN': 'B0B66QHB23', 'Item model number': 'VCZYSBTPZCY04', 'Customer Reviews': '4.0  4.0 out of 5 stars        14 ratings    4.0 out of 5 stars', 'Best Sellers Rank': '#2,872,859 in Home & Kitchen (See Top 100 in Home & Kitchen)  #4,615 in Kitchen & Dining Room Chairs', 'Date First Available': 'July 10, 2022'}",Seating
B0BXRTWLYK,https://www.amazon.com/dp/B0BXRTWLYK,"Plant Repotting Mat MUYETOL Waterproof Transplanting Mat Indoor 26.8"" x 26.8"" Portable Square Foldable Easy to Clean Gardening Work Mat Soil Changing Mat Succulent Plant Transplanting Mat Garden Gifts",https://m.media-amazon.com/images/I/41RgefVq70L._SS522_.jpg,"['https://m.media-amazon.com/images/I/41RgefVq70L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/414SPEuzxlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51gknsPKCHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51mcO9+8GLL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51BbYwggQSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51tkCe9KQzL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71EIk5N4xcL.SS125_SS522_.jpg']",MUYETOL,htdz-2038,,b2ede786-3f51-5a45-9a5b-bcf856958cd8,5.98,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","Patio, Lawn & Garden",,,,,2024-02-02 15:15:09,"Plant Repotting Mat Muyetol Waterproof Transplanting Mat Indoor 26.8"" X 26.8"" Portable Square Foldable Easy To Clean Gardening Work Mat Soil Changing Mat Succulent Plant Transplanting Mat Garden Gifts",Muyetol,Green,Polyethylene,Modern,"{'Brand': 'MUYETOL', 'Size': '26.8*26.8', 'Item Weight': '2.89 ounces', 'Pile Height': 'High Pile', 'Back Material Type': 'Polyethylene', 'Color': 'Green', 'Indoor/Outdoor Usage': 'Indoor', 'Theme': 'Garden,Plant,Succulent', 'Is Stain Resistant': 'No', 'Product Care Instructions': 'Hand Wash Only', 'Pattern': 'Solid', 'Shape': 'Rectangular', 'Special Feature': 'Waterproof', 'Product Dimensions': '26.8""L x 26.8""W', 'Style': 'Modern', 'Number of Pieces': '1', 'Manufacturer': 'MUYETOL', 'ASIN': 'B0BXRTWLYK', 'Item model number': 'htdz-2038', 'Customer Reviews': '4.7  4.7 out of 5 stars        107 ratings    4.7 out of 5 stars', 'Best Sellers Rank': '#19,814 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)  #272 in Outdoor Doormats', 'Antibacterial treatment': 'Buckle', 'Batteries required': 'No'}",Tables
B0C1MRB2M8,https://www.amazon.com/dp/B0C1MRB2M8,"Pickleball Doormat, Welcome Doormat Absorbent Non-Slip Floor Mat Bathroom Mat 16x24",https://m.media-amazon.com/images/I/61vz1IglerL._SS522_.jpg,"['https://m.media-amazon.com/images/I/61vz1IglerL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KiuOZ9IlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61N7oADRxIL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51P410C3CpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51VZUO3bm3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61Gchr9jOHL._SS522_.jpg']",Contrence,,,8fd9377b-cfa6-5f10-835c-6b8eca2816b5,13.99,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","Patio, Lawn & Garden",,,,2023-04-06,2024-02-02 15:15:10,"Pickleball Doormat, Welcome Doormat Absorbent Non-Slip Floor Mat Bathroom Mat 16X24",Vewetol,A5589,Rubber,Modern,"{'Brand': 'VEWETOL', 'Size': '16*24INCH', 'Material': 'Polyester, Rubber', 'Pile Height': 'Low Pile', 'Back Material Type': 'Rubber', 'Color': 'A5589', 'Indoor/Outdoor Usage': 'Indoor', 'Is Stain Resistant': 'No', 'Product Care Instructions': 'Hand Wash Only', 'Pattern': 'Letter Print', 'Shape': 'Rectangular', 'Special Feature': 'Absorbent,Non-slip', 'Room Type': 'Bathroom', 'Product Dimensions': '24""L x 16""W', 'Rug Form Type': 'Doormat', 'Style': 'Modern', 'Item Weight': '3.36 ounces', 'Manufacturer': 'Contrence', 'ASIN': 'B0C1MRB2M8', 'Customer Reviews': '3.0  3.0 out of 5 stars        1 rating    3.0 out of 5 stars', 'Best Sellers Rank': '#599,420 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)  #9,205 in Outdoor Doormats', 'Date First Available': 'April 6, 2023'}",Floor & Mat
B0CG1N9QRC,https://www.amazon.com/dp/B0CG1N9QRC,"JOIN IRON Foldable TV Trays for Eating Set of 4 with Stand,Folding TV/Snack Tray Table Set,Folding TV Dinner Tables for Small Space,(Grey)",https://m.media-amazon.com/images/I/41p4d4VJnNL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41p4d4VJnNL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51nycdOa5kL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/416f7xG0D6L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ayCcN+W7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51vzmAJZk8L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ayCcN+W7L._SS522_.jpg']",,,,bdc9aa30-9439-50dc-8e89-213ea211d66a,89.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'TV Trays']",Home & Kitchen,18.9,14.2,26.0,,2024-02-02 15:15:11,"Join Iron Foldable Tv Trays For Eating Set Of 4 With Stand,Folding Tv/Snack Tray Table Set,Folding Tv Dinner Tables For Small Space,(Grey)",Join Iron,Grey Set Of 4,Iron,X Classic Style,"{'Brand': 'JOIN IRON', 'Shape': 'Rectangular', 'Included Components': 'Hardware', 'Color': 'Grey Set of 4', 'Model Name': 'ICZDZ22916', 'Model Number': 'ICZDZ22916', 'Age Range (Description)': 'Adult', 'Customer Reviews': '5.0  5.0 out of 5 stars        3 ratings    5.0 out of 5 stars', 'Best Sellers Rank': '#1,685,657 in Home & Kitchen (See Top 100 in Home & Kitchen)  #210 in TV Trays', 'Style': 'X Classic Style', 'Table design': 'Tray Table', 'Pattern': 'Solid', 'Assembly Required': 'Yes', 'Recommended Uses For Product': 'Dining, Snacking', 'Product Dimensions': '18.9""D x 14.2""W x 26""H', 'Item Width': '14.2 inches', 'Size': '26"" H x 18.9"" W x 14.2"" D', 'Item Weight': '26.8 Pounds', 'Number of Items': '1', 'Unit Count': '1.0 Count', 'Frame Material': 'Iron', 'Top Material Type': 'Iron', 'Is Stain Resistant': 'No', 'Special Feature': 'Folding', 'Is Foldable': 'Yes', 'Base Type': 'X', 'Indoor/Outdoor Usage': 'Indoor'}",Tables
B0C9WYYFLB,https://www.amazon.com/dp/B0C9WYYFLB,"LOVMOR 30'' Bathroom Vanity Sink Base Cabine, Storage Cabinet with 3-Drawers on The Left, Suitable for Bathrooms, Kitchens, Laundry Rooms and Other Places.",https://m.media-amazon.com/images/I/41zMuj2wvvL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41zMuj2wvvL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41h0FQWG5IL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41thgR6LltL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41oC3JqceaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/5114WNPHqLL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51srjcedjJL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41+zRuSrmkL._SS522_.jpg']",,Bathroom vanity,Vietnam,20da3703-26f1-53e5-aa0b-a8104527d1bb,,"['Home & Kitchen', 'Furniture', 'Bathroom Furniture', 'Bathroom Sets']",Home & Kitchen,21.0,30.0,34.5,2023-07-01,2024-02-02 15:15:11,"Lovmor 30'' Bathroom Vanity Sink Base Cabine, Storage Cabinet With 3-Drawers On The Left, Suitable For Bathrooms, Kitchens, Laundry Rooms And Other Places.",Lovmor,Cameo Scotch,Wood,"Soft-Closing Switch, Soft-Closing Switch","{'Brand': 'LOVMOR', 'Color': 'Cameo Scotch', 'Recommended Uses For Product': 'Undersink', 'Product Dimensions': '21""D x 30""W x 34.5""H', 'Special Feature': 'Bagless', 'Mounting Type': 'Floor Mount', 'Room Type': 'Bathroom', 'Door Style': 'Soft-closing Switch, Soft-closing Switch', 'Included Components': 'Cover', 'Finish Type': 'Painted', 'Size': ""30''W+Left"", 'Shape': 'Rectangular', 'Item Weight': '77 pounds', 'Base Type': 'Pedestal', 'Installation Type': 'Freestanding', 'Back Material Type': 'Engineered Wood', 'Assembly Required': 'Yes', 'Frame Material': 'Wood', 'Country of Origin': 'Vietnam', 'Item model number': 'Bathroom vanity', 'ASIN': 'B0C9WYYFLB', 'Customer Reviews': '5.0  5.0 out of 5 stars        4 ratings    5.0 out of 5 stars', 'Best Sellers Rank': '#5,572,904 in Home & Kitchen (See Top 100 in Home & Kitchen)  #284 in Bathroom Furniture Sets', 'Date First Available': 'July 1, 2023'}",Tables
B09NZY3R1T,https://www.amazon.com/dp/B09NZY3R1T,"Folews Bathroom Organizer Over The Toilet Storage, 4-Tier Bathroom Shelves Over Toilet Shelf Above Toilet Storage Rack Freestanding Bathroom Space Saver Adjustable Shelves and Baskets, Black",https://m.media-amazon.com/images/I/41ixgM73DgL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41ixgM73DgL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41WLiP-jOaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41i3PONnKTL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31U4qzySmeL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51pJLCJgtZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CkG4IzRnL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71D2M6vIXAL.SS125_SS522_.jpg']",Folews,Over the toilet shelf 4 tiers,China,aba4138e-6401-52ca-a099-02e30b638db4,63.99,"['Home & Kitchen', 'Furniture', 'Bathroom Furniture', 'Over-the-Toilet Storage']",Home & Kitchen,12.6,25.2,68.5,2021-12-22,2024-02-02 15:15:12,"Folews Bathroom Organizer Over The Toilet Storage, 4-Tier Bathroom Shelves Over Toilet Shelf Above Toilet Storage Rack Freestanding Bathroom Space Saver Adjustable Shelves And Baskets, Black",Folews,,,Classic,"{'Room Type': 'Laundry Room, Bathroom, Bedroom, Living Room, Dining Room', 'Number of Shelves': 'two baskets and two open shelves', 'Special Feature': 'Durable, Adjustable', 'Product Dimensions': '12.6""D x 25.2""W x 68.5""H', 'Style': 'Classic', 'Age Range (Description)': 'Adult', 'Finish Type': 'Painted', 'Brand': 'Folews', 'Product Care Instructions': 'Wipe with Dry Cloth', 'Size': '25.2 x 12.6 x 68.5 inches', 'Assembly Required': 'Yes', 'Recommended Uses For Product': 'Bathroom, Toilet', 'Number of Items': '1', 'Manufacturer': 'Folews', 'Model Name': 'Folews over toilet shelf', 'Item Weight': '18.3 pounds', 'Furniture Finish': 'Black', 'Installation Type': 'Freestanding', 'Specific Uses For Product': 'Bathroom space saver over toilet', 'Product Name': '4-tier over the toilet storage', 'ASIN': 'B09NZY3R1T', 'Country of Origin': 'China', 'Item model number': 'Over the toilet shelf 4 tiers', 'Customer Reviews': '4.6  4.6 out of 5 stars        518 ratings    4.6 out of 5 stars', 'Best Sellers Rank': '#151,522 in Home & Kitchen (See Top 100 in Home & Kitchen)  #114 in Over-the-Toilet Storage', 'Date First Available': 'December 22, 2021'}",Tables
B0CJHKVG6P,https://www.amazon.com/dp/B0CJHKVG6P,"GOYMFK 1pc Free Standing Shoe Rack, Multi-layer Metal Shoe Cap Rack With 8 Double Hooks For Living Room, Bathroom, Hallway",https://m.media-amazon.com/images/I/416WaLx10jL._SS522_.jpg,"['https://m.media-amazon.com/images/I/416WaLx10jL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41kuxipTsuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51T9x4yZd3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61w6ifIrCpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51bBQlUn8GL._SS522_.jpg']",GOYMFK,TK019,China,02593e81-5c09-5069-8516-b0b29f439ded,24.99,"['Home & Kitchen', 'Storage & Organization', 'Clothing & Closet Storage', 'Shoe Organizers', 'Free Standing Shoe Racks']",Home & Kitchen,2.36,7.87,21.6,2023-09-21,2024-02-02 18:53:22,"Goymfk 1Pc Free Standing Shoe Rack, Multi-Layer Metal Shoe Cap Rack With 8 Double Hooks For Living Room, Bathroom, Hallway",Goymfk,White,Metal,Modern,"{'Brand': 'GOYMFK', 'Color': 'White', 'Material': 'Metal', 'Recommended Uses For Product': 'Coats, Umbrella, Hats, Shoes', 'Product Dimensions': '2.36""D x 7.87""W x 21.6""H', 'Installation Type': 'Free Standing', 'Special Feature': 'Stackable', 'Style': 'Modern', 'Finish Type': 'Coated', 'Load Capacity': '44.1 Pounds', 'Number of Shelves': '5', 'Furniture Finish': 'Metal', 'Frame Material': 'Metal', 'Assembly Required': 'Yes', 'Maximum Weight Recommendation': '20 Kilograms', 'Manufacturer': 'GOYMFK', 'Part Number': 'TK019', 'Item Weight': '2.7 pounds', 'Country of Origin': 'China', 'Item model number': 'TK019', 'Finish': 'Coated', 'Special Features': 'Stackable', 'Included Components': '1 x Assembly instructions', 'Batteries Included?': 'No', 'Batteries Required?': 'No', 'Warranty Description': '1 year', 'ASIN': 'B0CJHKVG6P', 'Customer Reviews': '1.0  1.0 out of 5 stars        1 rating    1.0 out of 5 stars', 'Best Sellers Rank': '#569,353 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1,051 in Free Standing Shoe Racks', 'Date First Available': 'September 21, 2023'}",Tables
B0B66QHB23,https://www.amazon.com/dp/B0B66QHB23,"subrtex Leather ding Room, Dining Chairs Set of 2, Black",https://m.media-amazon.com/images/I/31SejUEWY7L._SS522_.jpg,"['https://m.media-amazon.com/images/I/31SejUEWY7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41mr+A9JmbL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41JjrWgA0XL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41ie5FbnfkL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41EDoJzFehL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31RijT4dnfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71hWfuIyNPL.SS125_SS522_.jpg']",Subrtex Houseware INC,VCZYSBTPZCY04,,5938d217-b8c5-5d3e-b1cf-e28e340f292e,,"['Home & Kitchen', 'Furniture', 'Dining Room Furniture', 'Chairs']",Home & Kitchen,18.5,16.0,35.0,2022-07-10,2024-02-02 18:53:22,"Subrtex Leather Ding Room, Dining Chairs Set Of 2, Black",Subrtex,Black,Sponge,Black Rubber Wood,"{'Brand': 'subrtex', 'Color': 'Black', 'Product Dimensions': '18.5""D x 16""W x 35""H', 'Size': 'Dining Chairs set of 2', 'Back Style': 'Solid Back', 'Special Feature': 'Ergonomic', 'Product Care Instructions': 'Dry Clean, Wipe Clean', 'Unit Count': '2.0 Count', 'Recommended Uses For Product': 'Dining,Living Room', 'Maximum Weight Recommendation': '265 Pounds', 'Style': 'Dining Chairs', 'Pattern': 'Solid', 'Room Type': 'Kitchen, Living Room, Dining Room', 'Age Range (Description)': 'Teen', 'Included Components': 'dining room chairs set of 2', 'Shape': 'Rectangular', 'Model Name': 'leather dining chairs', 'Cartoon Character': 'Waterproof', 'Surface Recommendation': 'Hard Floor', 'Indoor/Outdoor Usage': 'Indoor', 'Form Factor': 'Upholstered', 'Furniture Finish': 'Leather', 'Fill Material': 'Sponge', 'Cushion Style': 'Upholstered', 'Leg Style': 'Black Rubber Wood', 'Item Weight': '25.4 pounds', 'Manufacturer': 'Subrtex Houseware INC', 'ASIN': 'B0B66QHB23', 'Item model number': 'VCZYSBTPZCY04', 'Customer Reviews': '4.0  4.0 out of 5 stars        14 ratings    4.0 out of 5 stars', 'Best Sellers Rank': '#2,872,859 in Home & Kitchen (See Top 100 in Home & Kitchen)  #4,615 in Kitchen & Dining Room Chairs', 'Date First Available': 'July 10, 2022'}",Seating
B0BXRTWLYK,https://www.amazon.com/dp/B0BXRTWLYK,"Plant Repotting Mat MUYETOL Waterproof Transplanting Mat Indoor 26.8"" x 26.8"" Portable Square Foldable Easy to Clean Gardening Work Mat Soil Changing Mat Succulent Plant Transplanting Mat Garden Gifts",https://m.media-amazon.com/images/I/41RgefVq70L._SS522_.jpg,"['https://m.media-amazon.com/images/I/41RgefVq70L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/414SPEuzxlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51gknsPKCHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51mcO9+8GLL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51BbYwggQSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51tkCe9KQzL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71EIk5N4xcL.SS125_SS522_.jpg']",MUYETOL,htdz-2038,,b2ede786-3f51-5a45-9a5b-bcf856958cd8,5.98,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","Patio, Lawn & Garden",,,,,2024-02-02 18:53:23,"Plant Repotting Mat Muyetol Waterproof Transplanting Mat Indoor 26.8"" X 26.8"" Portable Square Foldable Easy To Clean Gardening Work Mat Soil Changing Mat Succulent Plant Transplanting Mat Garden Gifts",Muyetol,Green,Polyethylene,Modern,"{'Brand': 'MUYETOL', 'Size': '26.8*26.8', 'Item Weight': '2.89 ounces', 'Pile Height': 'High Pile', 'Back Material Type': 'Polyethylene', 'Color': 'Green', 'Indoor/Outdoor Usage': 'Indoor', 'Theme': 'Garden,Plant,Succulent', 'Is Stain Resistant': 'No', 'Product Care Instructions': 'Hand Wash Only', 'Pattern': 'Solid', 'Shape': 'Rectangular', 'Special Feature': 'Waterproof', 'Product Dimensions': '26.8""L x 26.8""W', 'Style': 'Modern', 'Number of Pieces': '1', 'Manufacturer': 'MUYETOL', 'ASIN': 'B0BXRTWLYK', 'Item model number': 'htdz-2038', 'Customer Reviews': '4.7  4.7 out of 5 stars        107 ratings    4.7 out of 5 stars', 'Best Sellers Rank': '#19,814 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)  #272 in Outdoor Doormats', 'Antibacterial treatment': 'Buckle', 'Batteries required': 'No'}",Tables
