asin,url,title,primary_image,images,manufacturer,item_model_number,country_of_origin,uniq_id,price_clean,categories_clean,primary_category,depth_in,width_in,height_in,date_first_available_clean,scraped_at_clean,title_clean,brand_clean,color_clean,material_clean,style_clean,specifications_dict,product_type
B0CJHKVG6P,https://www.amazon.com/dp/B0CJHKVG6P,"GOYMFK 1pc Free Standing Shoe Rack, Multi-layer Metal Shoe Cap Rack With 8 Double Hooks For Living Room, Bathroom, Hallway",https://m.media-amazon.com/images/I/416WaLx10jL._SS522_.jpg,"['https://m.media-amazon.com/images/I/416WaLx10jL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41kuxipTsuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51T9x4yZd3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61w6ifIrCpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51bBQlUn8GL._SS522_.jpg']",GOYMFK,TK019,China,02593e81-5c09-5069-8516-b0b29f439ded,24.99,"['Home & Kitchen', 'Storage & Organization', 'Clothing & Closet Storage', 'Shoe Organizers', 'Free Standing Shoe Racks']",Home & Kitchen,2.36,7.87,21.6,2023-09-21,2024-02-02 15:15:08,"Goymfk 1Pc Free Standing Shoe Rack, Multi-Layer Metal Shoe Cap Rack With 8 Double Hooks For Living Room, Bathroom, Hallway",Goymfk,White,Metal,Modern,"{'Brand': 'GOYMFK', 'Color': 'White', 'Material': 'Metal', 'Recommended Uses For Product': 'Coats, Umbrella, Hats, Shoes', 'Product Dimensions': '2.36""D x 7.87""W x 21.6""H', 'Installation Type': 'Free Standing', 'Special Feature': 'Stackable', 'Style': 'Modern', 'Finish Type': 'Coated', 'Load Capacity': '44.1 Pounds', 'Number of Shelves': '5', 'Furniture Finish': 'Metal', 'Frame Material': 'Metal', 'Assembly Required': 'Yes', 'Maximum Weight Recommendation': '20 Kilograms', 'Manufacturer': 'GOYMFK', 'Part Number': 'TK019', 'Item Weight': '2.7 pounds', 'Country of Origin': 'China', 'Item model number': 'TK019', 'Finish': 'Coated', 'Special Features': 'Stackable', 'Included Components': '1 x Assembly instructions', 'Batteries Included?': 'No', 'Batteries Required?': 'No', 'Warranty Description': '1 year', 'ASIN': 'B0CJHKVG6P', 'Customer Reviews': '1.0  1.0 out of 5 stars        1 rating    1.0 out of 5 stars', 'Best Sellers Rank': '#569,353 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1,051 in Free Standing Shoe Racks', 'Date First Available': 'September 21, 2023'}",Tables
B0BXRTWLYK,https://www.amazon.com/dp/B0BXRTWLYK,"Plant Repotting Mat MUYETOL Waterproof Transplanting Mat Indoor 26.8"" x 26.8"" Portable Square Foldable Easy to Clean Gardening Work Mat Soil Changing Mat Succulent Plant Transplanting Mat Garden Gifts",https://m.media-amazon.com/images/I/41RgefVq70L._SS522_.jpg,"['https://m.media-amazon.com/images/I/41RgefVq70L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/414SPEuzxlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51gknsPKCHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51mcO9+8GLL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51BbYwggQSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51tkCe9KQzL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71EIk5N4xcL.SS125_SS522_.jpg']",MUYETOL,htdz-2038,,b2ede786-3f51-5a45-9a5b-bcf856958cd8,5.98,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","Patio, Lawn & Garden",,,,,2024-02-02 15:15:09,"Plant Repotting Mat Muyetol Waterproof Transplanting Mat Indoor 26.8"" X 26.8"" Portable Square Foldable Easy To Clean Gardening Work Mat Soil Changing Mat Succulent Plant Transplanting Mat Garden Gifts",Muyetol,Green,Polyethylene,Modern,"{'Brand': 'MUYETOL', 'Size': '26.8*26.8', 'Item Weight': '2.89 ounces', 'Pile Height': 'High Pile', 'Back Material Type': 'Polyethylene', 'Color': 'Green', 'Indoor/Outdoor Usage': 'Indoor', 'Theme': 'Garden,Plant,Succulent', 'Is Stain Resistant': 'No', 'Product Care Instructions': 'Hand Wash Only', 'Pattern': 'Solid', 'Shape': 'Rectangular', 'Special Feature': 'Waterproof', 'Product Dimensions': '26.8""L x 26.8""W', 'Style': 'Modern', 'Number of Pieces': '1', 'Manufacturer': 'MUYETOL', 'ASIN': 'B0BXRTWLYK', 'Item model number': 'htdz-2038', 'Customer Reviews': '4.7  4.7 out of 5 stars        107 ratings    4.7 out of 5 stars', 'Best Sellers Rank': '#19,814 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)  #272 in Outdoor Doormats', 'Antibacterial treatment': 'Buckle', 'Batteries required': 'No'}",Tables
B0C1MRB2M8,https://www.amazon.com/dp/B0C1MRB2M8,"Pickleball Doormat, Welcome Doormat Absorbent Non-Slip Floor Mat Bathroom Mat 16x24",https://m.media-amazon.com/images/I/61vz1IglerL._SS522_.jpg,"['https://m.media-amazon.com/images/I/61vz1IglerL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KiuOZ9IlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61N7oADRxIL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51P410C3CpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51VZUO3bm3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61Gchr9jOHL._SS522_.jpg']",Contrence,,,8fd9377b-cfa6-5f10-835c-6b8eca2816b5,13.99,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","Patio, Lawn & Garden",,,,2023-04-06,2024-02-02 15:15:10,"Pickleball Doormat, Welcome Doormat Absorbent Non-Slip Floor Mat Bathroom Mat 16X24",Vewetol,A5589,Rubber,Modern,"{'Brand': 'VEWETOL', 'Size': '16*24INCH', 'Material': 'Polyester, Rubber', 'Pile Height': 'Low Pile', 'Back Material Type': 'Rubber', 'Color': 'A5589', 'Indoor/Outdoor Usage': 'Indoor', 'Is Stain Resistant': 'No', 'Product Care Instructions': 'Hand Wash Only', 'Pattern': 'Letter Print', 'Shape': 'Rectangular', 'Special Feature': 'Absorbent,Non-slip', 'Room Type': 'Bathroom', 'Product Dimensions': '24""L x 16""W', 'Rug Form Type': 'Doormat', 'Style': 'Modern', 'Item Weight': '3.36 ounces', 'Manufacturer': 'Contrence', 'ASIN': 'B0C1MRB2M8', 'Customer Reviews': '3.0  3.0 out of 5 stars        1 rating    3.0 out of 5 stars', 'Best Sellers Rank': '#599,420 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)  #9,205 in Outdoor Doormats', 'Date First Available': 'April 6, 2023'}",Floor & Mat
B0CG1N9QRC,https://www.amazon.com/dp/B0CG1N9QRC,"JOIN IRON Foldable TV Trays for Eating Set of 4 with Stand,Folding TV/Snack Tray Table Set,Folding TV Dinner Tables for Small Space,(Grey)",https://m.media-amazon.com/images/I/41p4d4VJnNL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41p4d4VJnNL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51nycdOa5kL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/416f7xG0D6L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ayCcN+W7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51vzmAJZk8L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ayCcN+W7L._SS522_.jpg']",,,,bdc9aa30-9439-50dc-8e89-213ea211d66a,89.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'TV Trays']",Home & Kitchen,18.9,14.2,26.0,,2024-02-02 15:15:11,"Join Iron Foldable Tv Trays For Eating Set Of 4 With Stand,Folding Tv/Snack Tray Table Set,Folding Tv Dinner Tables For Small Space,(Grey)",Join Iron,Grey Set Of 4,Iron,X Classic Style,"{'Brand': 'JOIN IRON', 'Shape': 'Rectangular', 'Included Components': 'Hardware', 'Color': 'Grey Set of 4', 'Model Name': 'ICZDZ22916', 'Model Number': 'ICZDZ22916', 'Age Range (Description)': 'Adult', 'Customer Reviews': '5.0  5.0 out of 5 stars        3 ratings    5.0 out of 5 stars', 'Best Sellers Rank': '#1,685,657 in Home & Kitchen (See Top 100 in Home & Kitchen)  #210 in TV Trays', 'Style': 'X Classic Style', 'Table design': 'Tray Table', 'Pattern': 'Solid', 'Assembly Required': 'Yes', 'Recommended Uses For Product': 'Dining, Snacking', 'Product Dimensions': '18.9""D x 14.2""W x 26""H', 'Item Width': '14.2 inches', 'Size': '26"" H x 18.9"" W x 14.2"" D', 'Item Weight': '26.8 Pounds', 'Number of Items': '1', 'Unit Count': '1.0 Count', 'Frame Material': 'Iron', 'Top Material Type': 'Iron', 'Is Stain Resistant': 'No', 'Special Feature': 'Folding', 'Is Foldable': 'Yes', 'Base Type': 'X', 'Indoor/Outdoor Usage': 'Indoor'}",Tables
B09NZY3R1T,https://www.amazon.com/dp/B09NZY3R1T,"Folews Bathroom Organizer Over The Toilet Storage, 4-Tier Bathroom Shelves Over Toilet Shelf Above Toilet Storage Rack Freestanding Bathroom Space Saver Adjustable Shelves and Baskets, Black",https://m.media-amazon.com/images/I/41ixgM73DgL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41ixgM73DgL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41WLiP-jOaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41i3PONnKTL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31U4qzySmeL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51pJLCJgtZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CkG4IzRnL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71D2M6vIXAL.SS125_SS522_.jpg']",Folews,Over the toilet shelf 4 tiers,China,aba4138e-6401-52ca-a099-02e30b638db4,63.99,"['Home & Kitchen', 'Furniture', 'Bathroom Furniture', 'Over-the-Toilet Storage']",Home & Kitchen,12.6,25.2,68.5,2021-12-22,2024-02-02 15:15:12,"Folews Bathroom Organizer Over The Toilet Storage, 4-Tier Bathroom Shelves Over Toilet Shelf Above Toilet Storage Rack Freestanding Bathroom Space Saver Adjustable Shelves And Baskets, Black",Folews,,,Classic,"{'Room Type': 'Laundry Room, Bathroom, Bedroom, Living Room, Dining Room', 'Number of Shelves': 'two baskets and two open shelves', 'Special Feature': 'Durable, Adjustable', 'Product Dimensions': '12.6""D x 25.2""W x 68.5""H', 'Style': 'Classic', 'Age Range (Description)': 'Adult', 'Finish Type': 'Painted', 'Brand': 'Folews', 'Product Care Instructions': 'Wipe with Dry Cloth', 'Size': '25.2 x 12.6 x 68.5 inches', 'Assembly Required': 'Yes', 'Recommended Uses For Product': 'Bathroom, Toilet', 'Number of Items': '1', 'Manufacturer': 'Folews', 'Model Name': 'Folews over toilet shelf', 'Item Weight': '18.3 pounds', 'Furniture Finish': 'Black', 'Installation Type': 'Freestanding', 'Specific Uses For Product': 'Bathroom space saver over toilet', 'Product Name': '4-tier over the toilet storage', 'ASIN': 'B09NZY3R1T', 'Country of Origin': 'China', 'Item model number': 'Over the toilet shelf 4 tiers', 'Customer Reviews': '4.6  4.6 out of 5 stars        518 ratings    4.6 out of 5 stars', 'Best Sellers Rank': '#151,522 in Home & Kitchen (See Top 100 in Home & Kitchen)  #114 in Over-the-Toilet Storage', 'Date First Available': 'December 22, 2021'}",Tables
B09PTXGFZD,https://www.amazon.com/dp/B09PTXGFZD,"Lerliuo Nightstand, Side Table, Industrial Bedside Table with 2 Drawers and Open Shelf, Grey Night Stand, End Table with Steel Frame for Bedroom, Dorm, Gray/Black 23.6''H",https://m.media-amazon.com/images/I/41IzLmM91FL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41IzLmM91FL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51J83+zKGCL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51W89bfhZgL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51GOSVUqhwL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51I8IT3uVlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/519ySpbhZiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/81MKjKUvxhL.SS125_SS522_.jpg']",,,,fa87da9a-a8cf-51d7-895f-d64b75ee02a3,39.99,"['Home & Kitchen', 'Furniture', 'Bedroom Furniture', 'Nightstands']",Home & Kitchen,13.78,17.72,23.62,,2024-02-02 18:53:27,"Lerliuo Nightstand, Side Table, Industrial Bedside Table With 2 Drawers And Open Shelf, Grey Night Stand, End Table With Steel Frame For Bedroom, Dorm, Gray/Black 23.6''H",Lerliuo,Grey,Stone,Classic,"{'Brand': 'Lerliuo', 'Shape': 'Rectangular', 'Room Type': 'Bedroom, Living Room, Home Office', 'Color': 'Grey', 'Finish Type': 'wooden grain', 'Furniture Finish': 'Matte', 'Model Name': 'Lerliuo', 'Customer Reviews': '4.2  4.2 out of 5 stars        590 ratings    4.2 out of 5 stars', 'Best Sellers Rank': '#159,666 in Home & Kitchen (See Top 100 in Home & Kitchen)  #243 in Nightstands', 'Style': 'Classic', 'Table design': 'End Table', 'Pattern': 'Solid', 'Assembly Required': 'Yes', 'Assembly Instructions': 'Require Assembly', 'Product Dimensions': '13.78""D x 17.72""W x 23.62""H', 'Item Width': '13.7 inches', 'Size': 'Large', 'Item Weight': '9.53 Kilograms', 'Maximum Weight Recommendation': '80 Pounds', 'Number of Items': '1', 'Number of Drawers': '2', 'Frame Material': 'Metal, Wood', 'Top Material Type': 'Stone', 'Special Feature': 'Storage', 'Base Type': 'Leg', 'Indoor/Outdoor Usage': 'Indoor'}",Tables
B007E40Z5K,https://www.amazon.com/dp/B007E40Z5K,Chief Mfg.Swing-Arm Wall Mount Hardware Mount Black (TS218SU),https://m.media-amazon.com/images/I/41HxUoRXloL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41HxUoRXloL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41O0tbqtVfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41apCz-5USL._SS522_.jpg']",No,TS218SU,,4129440e-cfff-5498-b9d6-16ec18b0a285,260.8,"['Electronics', 'Television & Video', 'Accessories', 'TV Mounts, Stands & Turntables', 'TV Wall & Ceiling Mounts']",Electronics,2.0,14.0,20.0,2012-02-27,2024-02-02 18:53:28,Chief Mfg.Swing-Arm Wall Mount Hardware Mount Black (Ts218Su),Chief,Black,,,"{'Brand Name': 'Chief Mfg.', 'Item Weight': '1.98 pounds', 'Product Dimensions': '2 x 14 x 20 inches', 'Item model number': 'TS218SU', 'Is Discontinued By Manufacturer': 'No', 'Color Name': 'Black', 'Specification Met': 'certified frustration-free', 'Special Features': 'Swing-Arm Wall Mount', 'ASIN': 'B007E40Z5K', 'Customer Reviews': '4.8  4.8 out of 5 stars        7 ratings    4.8 out of 5 stars', 'Best Sellers Rank': '#4,987 in TV Wall & Ceiling Mounts  #5,545 in Electronics Mounts  #20,830 in Security & Surveillance Equipment', 'Date First Available': 'February 27, 2012'}",Other
B0BFJGDHVF,https://www.amazon.com/dp/B0BFJGDHVF,"DOMYDEVM Black End Table, Nightstand with Charging Station, Bedside Table with Drawer, Small Side Table with USB Ports and Outlets for Bedroom",https://m.media-amazon.com/images/I/41YrmN-yOEL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41YrmN-yOEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ySXwNCU7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/418lxFzHARL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51HMXH0NWSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31diULoiHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51O4kVaFcmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71rbaYe0wnL.SS125_SS522_.jpg']",,,,d553e7ea-4dce-5147-8534-3230f5e7848d,46.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Tables', 'End Tables']",Home & Kitchen,11.81,15.75,23.62,,2024-02-02 18:53:29,"Domydevm Black End Table, Nightstand With Charging Station, Bedside Table With Drawer, Small Side Table With Usb Ports And Outlets For Bedroom",Domydevm,Black,Metal,Modern,"{'Brand': 'DOMYDEVM', 'Shape': 'Square', 'Room Type': 'Bedroom, Living Room, Home Office, Playroom, Hallway', 'Included Components': 'End Table with Drawer, Nightstand with Charging Station', 'Color': 'Black', 'Furniture Finish': 'wood', 'Model Name': 'TPD-R854', 'Model Number': 'TPD-R854', 'Age Range (Description)': 's', 'Customer Reviews': '4.6  4.6 out of 5 stars        330 ratings    4.6 out of 5 stars', 'Best Sellers Rank': '#201,616 in Home & Kitchen (See Top 100 in Home & Kitchen)  #973 in End Tables', 'Special Feature': 'Storage, Space Saving, USB Port, Easy Assembly, Charging Station', 'Mounting Type': 'Floor Mount', 'Base Type': 'adjustable foot', 'Indoor/Outdoor Usage': 'Indoor', 'Product Dimensions': '11.81""D x 15.75""W x 23.62""H', 'Item Width': '29.98 centimeters', 'Size': '1 Pack', 'Item Weight': '10 Pounds', 'Number of Items': '1', 'Number of Drawers': '1', 'Unit Count': '1.0 Count', 'Frame Material': 'Metal', 'Top Material Type': 'Metal', 'Product Care Instructions': 'Wipe with Dry Cloth', 'Style': 'Modern', 'Table design': 'Nightstand', 'Pattern': 'Solid', 'Assembly Required': 'Yes', 'Assembly Instructions': 'Require Assembly'}",Tables
B093KMM9D3,https://www.amazon.com/dp/B093KMM9D3,"Table-Mate II PRO TV Tray Table - Folding Table with Cup Holder and Tablet Slot- Couch Desk for Working from Home, TV Trays for Eating, Portable and Adjustable TV Table, Slate Gray",https://m.media-amazon.com/images/I/31cbTc2VhaL._SS522_.jpg,"['https://m.media-amazon.com/images/I/31cbTc2VhaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51iLRDni3SL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/511IENAhEfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CwGvaB36L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51lPfhecHFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/517NNSqzt8L._SS522_.jpg']",Table-Mate,,China,6ed419d5-318a-5013-a0c4-d182d6ad6471,53.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Folding Tables & Chairs', 'Folding Tables']",Home & Kitchen,15.0,21.0,29.0,2021-04-27,2024-02-02 18:53:30,"Table-Mate Ii Pro Tv Tray Table - Folding Table With Cup Holder And Tablet Slot- Couch Desk For Working From Home, Tv Trays For Eating, Portable And Adjustable Tv Table, Slate Gray",Table-Mate,Slate Gray,,Cupholder+Tablet Slot+Side Storage,"{'Brand': 'Table-Mate', 'Product Dimensions': '15""D x 21""W x 29""H', 'Color': 'Slate Gray', 'Special Feature': 'Adjustable,Lightweight,Portable,Removable,Sturdy', 'Style': 'Cupholder+Tablet Slot+Side Storage', 'Age Range (Description)': 'Adult', 'Assembly Required': 'No', 'Included Components': '15""D x 21""W x 29""H', 'Item Weight': '12.72 pounds', 'Manufacturer': 'Table-Mate', 'ASIN': 'B093KMM9D3', 'Country of Origin': 'China', 'Customer Reviews': '4.4  4.4 out of 5 stars        4,317 ratings    4.4 out of 5 stars', 'Best Sellers Rank': '#46,851 in Home & Kitchen (See Top 100 in Home & Kitchen)  #216 in Folding Tables', 'Date First Available': 'April 27, 2021'}",Tables
B09QZ3LYWB,https://www.amazon.com/dp/B09QZ3LYWB,Gbuzozie 38L Round Laundry Hamper Cute Mermaid Girl Storage Basket Waterproof Coating Organizer Bin For Nursery Clothes Toys,https://m.media-amazon.com/images/I/41hYmELREGL._SS522_.jpg,"['https://m.media-amazon.com/images/I/41hYmELREGL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41VFJB73P8L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31EVYkDak+L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41kqUqbzHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41sQFOkD1ZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41LX+GGgsuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51+mlUokV-L._SS522_.jpg']",Gbuzozie,,,81c0bc61-6ec2-5484-8388-2c404f3dd8f7,18.99,"['Baby Products', 'Nursery', 'Furniture', 'Storage & Organization', 'Hampers']",Baby Products,13.8,13.8,16.5,2022-01-22,2024-02-02 18:53:35,Gbuzozie 38L Round Laundry Hamper Cute Mermaid Girl Storage Basket Waterproof Coating Organizer Bin For Nursery Clothes Toys,Gbuzozie,Mermaid Girl,Fabric,Fashion,"{'Product Dimensions': '13.8""L x 13.8""W x 16.5""H', 'Brand': 'Gbuzozie', 'Color': 'Mermaid Girl', 'Material': 'fabric', 'Style': 'Fashion', 'Special Feature': 'Durable,Large Capacity,Lightweight,Waterproof', 'Shape': 'Round', 'Package Information': 'Basket', 'Included Components': 'Handle', 'Age Range (Description)': 'Adults', 'Size': '38L', 'Number of Pieces': '1', 'Number of Compartments': '1', 'Mounting Type': 'Floor Mount', 'Capacity': '38 Liters', 'Room Type': 'Bathrooms,Laundry,Living Rooms,Nursery,Utility', 'Manufacturer': 'Gbuzozie', 'Item Weight': '9.9 ounces', 'Item Package Quantity': '1', 'Cutting Diameter': '13.8 Inches', 'Special Features': 'Durable,Large Capacity,Lightweight,Waterproof', 'Batteries Included?': 'No', 'Batteries Required?': 'No', 'Assembled Diameter': '13.8 Inches', 'ASIN': 'B09QZ3LYWB', 'Customer Reviews': '3.9  3.9 out of 5 stars        20 ratings    3.9 out of 5 stars', 'Best Sellers Rank': '#35,758 in Baby (See Top 100 in Baby)  #121 in Nursery Hampers', 'Date First Available': 'January 22, 2022'}",Storage
